ticker
SAP.DE
ASML.AS
NOVO-B.CO
OR.PA
TTE.PA
SAN.PA
NESN.SW
ULVR.L
IFX.DE
SU.PA
MC.PA
AIR.PA
ABBN.SW
ROG.SW
NOVN.SW
AZN.L
LIN.DE
RIO.L
IBE.MC
ALV.DE
