ticker
AAPL
MSFT
NVDA
GOOGL
GOOG
AMZN
META
TSLA
AVGO
PEP
COST
TMUS
CSCO
CMCSA
TXN
QCOM
INTC
AMGN
INTU
ISRG
HON
AMAT
BKNG
VRTX
MDLZ
REGN
PANW
ADI
LRCX
MU
MELI
KLAC
SNPS
CDNS
WDAY
CRWD
CTAS
ORLY
NXPI
MAR
ROP
CPRT
PCAR
ROST
PAYX
ADBE
MCHP
PDD
MNST
AEP
KDP
AZN
DDOG
EXC
CEG
GILD
FAST
CSX
IDXX
ODFL
BKR
MRVL
FTNT
GEHC
LULU
EA
CTSH
KHC
DXCM
ADSK
ILMN
XEL
ANSS
TEAM
DLTR
WBD
ALNY
SBUX
MSTR
EBAY
PLTR
ABNB
DASH
SHOP
APP
ARM
ALAB
CRWV
NBIS
SPCX
